,control_p_val,control_avg_logFC,control_pct.1,control_pct.2,control_p_val_adj,treatment_p_val,treatment_avg_logFC,treatment_pct.1,treatment_pct.2,treatment_p_val_adj,max_pval,minimump_p_val,cluster,gene
PF3D7-1134600,4.78E-64,0.815956954,0.611,0.075,2.50E-60,1.02E-47,0.853156625,0.556,0.087,5.31E-44,1.02E-47,9.56E-64,7,PF3D7-1134600
PF3D7-1327300,9.17E-57,0.750119846,0.625,0.085,4.79E-53,2.11E-29,0.775116722,0.583,0.149,1.10E-25,2.11E-29,1.83E-56,7,PF3D7-1327300
PF3D7-1236200,8.57E-51,0.674870253,0.375,0.034,4.48E-47,5.00E-50,0.569084002,0.333,0.028,2.61E-46,5.00E-50,1.71E-50,7,PF3D7-1236200
PF3D7-1466200,1.34E-46,0.820048331,0.681,0.137,6.98E-43,8.34E-37,0.968288521,0.639,0.15,4.36E-33,8.34E-37,2.67E-46,7,PF3D7-1466200
PF3D7-1362700,4.59E-38,0.817598157,0.625,0.139,2.40E-34,3.40E-15,0.556899073,0.417,0.126,1.78E-11,3.40E-15,9.18E-38,7,PF3D7-1362700
PF3D7-1472900,4.16E-32,0.486846544,0.472,0.086,2.17E-28,4.49E-19,0.506843219,0.361,0.082,2.35E-15,4.49E-19,8.32E-32,7,PF3D7-1472900
PF3D7-0936600,9.13E-30,0.413805606,0.389,0.06,4.77E-26,4.28E-09,0.279504282,0.236,0.067,2.23E-05,4.28E-09,1.83E-29,7,PF3D7-0936600
PF3D7-1016900,9.23E-26,0.453441581,0.458,0.1,4.82E-22,1.33E-15,0.475841131,0.333,0.084,6.93E-12,1.33E-15,1.85E-25,7,PF3D7-1016900
PF3D7-0720700,2.22E-10,0.555865509,0.444,0.174,1.16E-06,2.27E-23,0.630197075,0.514,0.132,1.18E-19,2.22E-10,4.54E-23,7,PF3D7-0720700
PF3D7-1473200,6.10E-21,0.507072636,0.556,0.17,3.19E-17,6.87E-05,0.359067454,0.292,0.146,0.358834403,6.87E-05,1.22E-20,7,PF3D7-1473200
PF3D7-1253000,2.64E-13,0.598510052,0.486,0.195,1.38E-09,6.64E-15,0.580893112,0.458,0.156,3.47E-11,2.64E-13,1.33E-14,7,PF3D7-1253000
PF3D7-1008700,5.06E-09,0.542356188,0.5,0.268,2.65E-05,8.94E-15,0.519709943,0.458,0.161,4.67E-11,5.06E-09,1.79E-14,7,PF3D7-1008700
PF3D7-0206300,9.54E-14,0.732257905,0.764,0.451,4.98E-10,7.64E-08,0.597455595,0.639,0.434,0.000398968,7.64E-08,1.91E-13,7,PF3D7-0206300
PF3D7-1133700,7.40E-09,0.349417913,0.403,0.169,3.87E-05,3.37E-12,0.453391428,0.417,0.139,1.76E-08,7.40E-09,6.74E-12,7,PF3D7-1133700
PF3D7-0204700,3.23E-11,0.588159164,0.681,0.436,1.68E-07,3.70E-05,0.402023618,0.583,0.446,0.193175267,3.70E-05,6.45E-11,7,PF3D7-0204700
PF3D7-0831300,4.56E-11,0.377808042,0.403,0.148,2.38E-07,2.52E-09,0.296930014,0.306,0.103,1.32E-05,2.52E-09,9.12E-11,7,PF3D7-0831300
PF3D7-0506500,1.83E-10,0.407685264,0.653,0.342,9.57E-07,0.006551363,0.285685078,0.444,0.328,1,0.006551363,3.66E-10,7,PF3D7-0506500
PF3D7-0309200,2.69E-09,0.365452382,0.417,0.175,1.40E-05,8.94E-07,0.416426401,0.319,0.138,0.004670875,8.94E-07,5.38E-09,7,PF3D7-0309200
PF3D7-0317700,1.13E-08,0.442770229,0.514,0.271,5.88E-05,1.67E-07,0.421221835,0.458,0.231,0.000872734,1.67E-07,2.25E-08,7,PF3D7-0317700
PF3D7-1246200,1.82E-08,0.364484447,0.583,0.334,9.50E-05,2.08E-05,0.293401376,0.431,0.238,0.10881472,2.08E-05,3.64E-08,7,PF3D7-1246200
